dataset,mode,lang,axis,metric,mean,median,std,n_queries
hard_queries,rrf_rerank,ko,paired_multi_tissue,facet_conjunctive_macro,0.5,,,2
hard_queries,bm25_only,en,ALL,facet_present_macro,0.7976190476190477,1.0,0.2693740118805895,49
hard_queries,bm25_only,en,ALL,facet_conjunctive_macro,0.7534013605442177,0.75,0.2896353871746646,49
hard_queries,bm25_only,en,ALL,exclusion_clean_at_k,0.8181818181818182,0.9,0.20810042076835633,11
hard_queries,bm25_only,en,abbrev_ambiguous,facet_present_macro,0.6666666666666666,,,6
hard_queries,bm25_only,en,abbrev_ambiguous,facet_conjunctive_macro,0.6666666666666666,,,6
hard_queries,bm25_only,en,abbrev_ambiguous,exclusion_clean_at_k,1.0,,,2
hard_queries,bm25_only,en,abbrev_standard,facet_present_macro,0.9444444444444445,,,6
hard_queries,bm25_only,en,abbrev_standard,facet_conjunctive_macro,0.8888888888888888,,,6
hard_queries,bm25_only,en,abbrev_tcga,facet_present_macro,0.8666666666666666,,,5
hard_queries,bm25_only,en,abbrev_tcga,facet_conjunctive_macro,0.7333333333333333,,,5
hard_queries,bm25_only,en,abbrev_tcga,exclusion_clean_at_k,1.0,,,1
hard_queries,bm25_only,en,cardinality_and,facet_present_macro,0.8333333333333334,,,6
hard_queries,bm25_only,en,cardinality_and,facet_conjunctive_macro,0.8333333333333334,,,6
hard_queries,bm25_only,en,celltype_x_tissue,facet_present_macro,0.625,,,2
hard_queries,bm25_only,en,celltype_x_tissue,facet_conjunctive_macro,0.625,,,2
hard_queries,bm25_only,en,dose_response,facet_present_macro,1.0,,,1
hard_queries,bm25_only,en,dose_response,facet_conjunctive_macro,1.0,,,1
hard_queries,bm25_only,en,dual_disease,facet_present_macro,0.75,,,2
hard_queries,bm25_only,en,dual_disease,facet_conjunctive_macro,0.5,,,2
hard_queries,bm25_only,en,exclusion_extended,facet_present_macro,0.9444444444444445,,,6
hard_queries,bm25_only,en,exclusion_extended,facet_conjunctive_macro,0.8888888888888888,,,6
hard_queries,bm25_only,en,exclusion_extended,exclusion_clean_at_k,0.7333333333333334,,,6
hard_queries,bm25_only,en,lessons_wildcard,facet_present_macro,0.6388888888888888,,,6
hard_queries,bm25_only,en,lessons_wildcard,facet_conjunctive_macro,0.6388888888888888,,,6
hard_queries,bm25_only,en,longitudinal,facet_present_macro,0.5,,,1
hard_queries,bm25_only,en,longitudinal,facet_conjunctive_macro,0.5,,,1
hard_queries,bm25_only,en,multi_omics,facet_present_macro,0.3333333333333333,,,2
hard_queries,bm25_only,en,multi_omics,facet_conjunctive_macro,0.3333333333333333,,,2
hard_queries,bm25_only,en,multi_organism,facet_present_macro,1.0,,,2
hard_queries,bm25_only,en,multi_organism,facet_conjunctive_macro,1.0,,,2
hard_queries,bm25_only,en,negation,facet_present_macro,0.8333333333333333,,,2
hard_queries,bm25_only,en,negation,facet_conjunctive_macro,0.8333333333333333,,,2
hard_queries,bm25_only,en,negation,exclusion_clean_at_k,0.8,,,2
hard_queries,bm25_only,en,paired_multi_tissue,facet_present_macro,1.0,,,2
hard_queries,bm25_only,en,paired_multi_tissue,facet_conjunctive_macro,0.8333333333333333,,,2
hard_queries,bm25_only,ko,ALL,facet_present_macro,0.7108843537414966,0.6666666666666666,0.33295132907524544,49
hard_queries,bm25_only,ko,ALL,facet_conjunctive_macro,0.6836734693877551,0.6666666666666666,0.33544382546773155,49
hard_queries,bm25_only,ko,ALL,exclusion_clean_at_k,0.8090909090909091,1.0,0.29986222731764806,11
hard_queries,bm25_only,ko,abbrev_ambiguous,facet_present_macro,0.6666666666666666,,,6
hard_queries,bm25_only,ko,abbrev_ambiguous,facet_conjunctive_macro,0.6666666666666666,,,6
hard_queries,bm25_only,ko,abbrev_ambiguous,exclusion_clean_at_k,1.0,,,2
hard_queries,bm25_only,ko,abbrev_standard,facet_present_macro,0.8888888888888888,,,6
hard_queries,bm25_only,ko,abbrev_standard,facet_conjunctive_macro,0.8888888888888888,,,6
hard_queries,bm25_only,ko,abbrev_tcga,facet_present_macro,0.8666666666666666,,,5
hard_queries,bm25_only,ko,abbrev_tcga,facet_conjunctive_macro,0.7333333333333333,,,5
hard_queries,bm25_only,ko,abbrev_tcga,exclusion_clean_at_k,1.0,,,1
hard_queries,bm25_only,ko,cardinality_and,facet_present_macro,0.8333333333333334,,,6
hard_queries,bm25_only,ko,cardinality_and,facet_conjunctive_macro,0.8333333333333334,,,6
hard_queries,bm25_only,ko,celltype_x_tissue,facet_present_macro,0.5,,,2
hard_queries,bm25_only,ko,celltype_x_tissue,facet_conjunctive_macro,0.5,,,2
hard_queries,bm25_only,ko,dose_response,facet_present_macro,0.5,,,1
hard_queries,bm25_only,ko,dose_response,facet_conjunctive_macro,0.5,,,1
hard_queries,bm25_only,ko,dual_disease,facet_present_macro,0.25,,,2
hard_queries,bm25_only,ko,dual_disease,facet_conjunctive_macro,0.25,,,2
hard_queries,bm25_only,ko,exclusion_extended,facet_present_macro,0.9444444444444445,,,6
hard_queries,bm25_only,ko,exclusion_extended,facet_conjunctive_macro,0.8888888888888888,,,6
hard_queries,bm25_only,ko,exclusion_extended,exclusion_clean_at_k,0.65,,,6
hard_queries,bm25_only,ko,lessons_wildcard,facet_present_macro,0.611111111111111,,,6
hard_queries,bm25_only,ko,lessons_wildcard,facet_conjunctive_macro,0.611111111111111,,,6
hard_queries,bm25_only,ko,longitudinal,facet_present_macro,0.5,,,1
hard_queries,bm25_only,ko,longitudinal,facet_conjunctive_macro,0.5,,,1
hard_queries,bm25_only,ko,multi_omics,facet_present_macro,0.16666666666666666,,,2
hard_queries,bm25_only,ko,multi_omics,facet_conjunctive_macro,0.16666666666666666,,,2
hard_queries,bm25_only,ko,multi_organism,facet_present_macro,0.5,,,2
hard_queries,bm25_only,ko,multi_organism,facet_conjunctive_macro,0.5,,,2
hard_queries,bm25_only,ko,negation,facet_present_macro,0.6666666666666666,,,2
hard_queries,bm25_only,ko,negation,facet_conjunctive_macro,0.6666666666666666,,,2
hard_queries,bm25_only,ko,negation,exclusion_clean_at_k,1.0,,,2
hard_queries,bm25_only,ko,paired_multi_tissue,facet_present_macro,0.8333333333333333,,,2
hard_queries,bm25_only,ko,paired_multi_tissue,facet_conjunctive_macro,0.6666666666666666,,,2
hard_queries,dense_only,en,ALL,facet_present_macro,0.7653061224489796,1.0,0.28998468828711227,49
hard_queries,dense_only,en,ALL,facet_conjunctive_macro,0.7414965986394558,1.0,0.31100601974800507,49
hard_queries,dense_only,en,ALL,exclusion_clean_at_k,0.9090909090909091,1.0,0.1504813214295168,11
hard_queries,dense_only,en,abbrev_ambiguous,facet_present_macro,0.6666666666666666,,,6
hard_queries,dense_only,en,abbrev_ambiguous,facet_conjunctive_macro,0.6666666666666666,,,6
hard_queries,dense_only,en,abbrev_ambiguous,exclusion_clean_at_k,1.0,,,2
hard_queries,dense_only,en,abbrev_standard,facet_present_macro,0.8888888888888888,,,6
hard_queries,dense_only,en,abbrev_standard,facet_conjunctive_macro,0.8888888888888888,,,6
hard_queries,dense_only,en,abbrev_tcga,facet_present_macro,0.6,,,5
hard_queries,dense_only,en,abbrev_tcga,facet_conjunctive_macro,0.6,,,5
hard_queries,dense_only,en,abbrev_tcga,exclusion_clean_at_k,1.0,,,1
hard_queries,dense_only,en,cardinality_and,facet_present_macro,0.8333333333333334,,,6
hard_queries,dense_only,en,cardinality_and,facet_conjunctive_macro,0.8333333333333334,,,6
hard_queries,dense_only,en,celltype_x_tissue,facet_present_macro,0.5,,,2
hard_queries,dense_only,en,celltype_x_tissue,facet_conjunctive_macro,0.5,,,2
hard_queries,dense_only,en,dose_response,facet_present_macro,1.0,,,1
hard_queries,dense_only,en,dose_response,facet_conjunctive_macro,1.0,,,1
hard_queries,dense_only,en,dual_disease,facet_present_macro,0.75,,,2
hard_queries,dense_only,en,dual_disease,facet_conjunctive_macro,0.5,,,2
