dataset,mode,lang,axis,metric,mean,median,std,n_queries,n_planned,n_success,n_failure,n_zero_result
hard_queries,bm25_only,ko,dose_response,facet_present_macro,0.5,0.5,0.0,1,1,1,0,0
hard_queries,bm25_only,ko,dose_response,facet_conjunctive_macro,0.5,0.5,0.0,1,1,1,0,0
hard_queries,bm25_only,ko,dual_disease,facet_present_macro,0.75,0.75,0.25,2,2,2,0,0
hard_queries,bm25_only,ko,dual_disease,facet_conjunctive_macro,0.5,0.5,0.5,2,2,2,0,0
hard_queries,bm25_only,ko,exclusion_extended,facet_present_macro,0.8888888888888888,1.0,0.15713484026367724,6,6,6,0,0
hard_queries,bm25_only,ko,exclusion_extended,facet_conjunctive_macro,0.8333333333333334,1.0,0.2545875386086578,6,6,6,0,0
hard_queries,bm25_only,ko,exclusion_extended,exclusion_clean_at_k,0.7166666666666667,0.75,0.26718699236468996,6,6,6,0,0
hard_queries,bm25_only,ko,lessons_wildcard,facet_present_macro,0.6944444444444445,0.5833333333333333,0.22395160411940415,6,6,6,0,0
hard_queries,bm25_only,ko,lessons_wildcard,facet_conjunctive_macro,0.6944444444444445,0.5833333333333333,0.22395160411940415,6,6,6,0,0
hard_queries,bm25_only,ko,longitudinal,facet_present_macro,1.0,1.0,0.0,1,1,1,0,0
hard_queries,bm25_only,ko,longitudinal,facet_conjunctive_macro,1.0,1.0,0.0,1,1,1,0,0
hard_queries,bm25_only,ko,multi_omics,facet_present_macro,0.16666666666666666,0.16666666666666666,0.16666666666666666,2,2,2,0,0
hard_queries,bm25_only,ko,multi_omics,facet_conjunctive_macro,0.16666666666666666,0.16666666666666666,0.16666666666666666,2,2,2,0,0
hard_queries,bm25_only,ko,multi_organism,facet_present_macro,0.6666666666666666,0.6666666666666666,0.33333333333333337,2,2,2,0,0
hard_queries,bm25_only,ko,multi_organism,facet_conjunctive_macro,0.6666666666666666,0.6666666666666666,0.33333333333333337,2,2,2,0,0
hard_queries,bm25_only,ko,negation,facet_present_macro,0.8333333333333333,0.8333333333333333,0.16666666666666669,2,2,2,0,0
hard_queries,bm25_only,ko,negation,facet_conjunctive_macro,0.8333333333333333,0.8333333333333333,0.16666666666666669,2,2,2,0,0
hard_queries,bm25_only,ko,negation,exclusion_clean_at_k,0.9,0.9,0.09999999999999998,2,2,2,0,0
hard_queries,bm25_only,ko,paired_multi_tissue,facet_present_macro,0.8333333333333333,0.8333333333333333,0.16666666666666669,2,2,2,0,0
