category,metric,n,n_success,n_timeout,n_error,success_rate,p50_ms,p90_ms,p95_ms,p99_ms,max_ms,mean_ms
complex,search_first_result_ms,40,40,0,0,1.0,1126.7503899871372,3958.9069086825484,5886.735362466425,6517.021726006642,6899.218301055953,1778.976991365198
complex,search_settled_ms,40,40,0,0,1.0,1258.5689659463242,4096.701306465548,6001.688006747281,6634.682563304668,7014.768189983442,1903.4855892474297
medium,search_first_result_ms,40,40,0,0,1.0,866.5129100554623,3435.434040566907,4427.446988585868,5432.884592576884,5434.4417619286105,1563.6339327844325
medium,search_settled_ms,40,40,0,0,1.0,986.333521490451,3554.250851960388,4544.6974628255675,5548.2704162131995,5549.471579957753,1682.9752443853067
short,search_first_result_ms,40,40,0,0,1.0,851.1190785211511,4486.052780342289,4928.884990356162,9690.811121769944,12444.99213306699,1866.9099476217525
short,search_settled_ms,40,40,0,0,1.0,968.568051001057,4620.993417222054,5044.561199779854,9804.40133970114,12558.37836500723,1983.8513769209385
